Date : 2024-02-17 03:19:40
Directory : /Users/ganneyd/softwaredev/inventory_v1/lib
Total : 91 files,  5268 codes, 367 comments, 652 blanks, all 6287 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         91 |      5,268 |        367 |        652 |      6,287 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         91 |      5,268 |        367 |        652 |      6,287 |
| . (Files)                                                                                                             |          4 |        137 |         12 |         23 |        172 |
| core                                                                                                                  |          6 |        152 |         59 |         42 |        253 |
| core/error                                                                                                            |          2 |         48 |         40 |         19 |        107 |
| core/usecases                                                                                                         |          1 |         10 |          5 |          3 |         18 |
| core/util                                                                                                             |          3 |         94 |         14 |         20 |        128 |
| data                                                                                                                  |          9 |        550 |         51 |         82 |        683 |
| data/datasources                                                                                                      |          1 |        115 |         14 |         22 |        151 |
| data/models                                                                                                           |          6 |        160 |         26 |         28 |        214 |
| data/models/checked-out                                                                                               |          2 |         84 |          8 |         18 |        110 |
| data/models/part                                                                                                      |          2 |         44 |         18 |          6 |         68 |
| data/models/part_order                                                                                                |          1 |         32 |          0 |          3 |         35 |
| data/models/pol                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| data/repositories                                                                                                     |          2 |        275 |         11 |         32 |        318 |
| domain                                                                                                                |         23 |        689 |         40 |        131 |        860 |
| domain/entities                                                                                                       |          4 |        176 |         22 |         33 |        231 |
| domain/entities/checked-out                                                                                           |          2 |         76 |          8 |         14 |         98 |
| domain/entities/part                                                                                                  |          1 |         69 |         14 |         16 |         99 |
| domain/entities/part_order                                                                                            |          1 |         31 |          0 |          3 |         34 |
| domain/repositories                                                                                                   |          2 |         41 |         18 |         19 |         78 |
| domain/usecases                                                                                                       |         17 |        472 |          0 |         79 |        551 |
| domain/usecases (Files)                                                                                               |         11 |        290 |          0 |         53 |        343 |
| domain/usecases/checkout                                                                                              |          6 |        182 |          0 |         26 |        208 |
| presentation                                                                                                          |         49 |      3,740 |        205 |        374 |      4,319 |
| presentation/dependency_check                                                                                         |          4 |        437 |         30 |         57 |        524 |
| presentation/dependency_check (Files)                                                                                 |          1 |         43 |          0 |          4 |         47 |
| presentation/dependency_check/cubit                                                                                   |          3 |        394 |         30 |         53 |        477 |
| presentation/pages                                                                                                    |         30 |      2,978 |        162 |        282 |      3,422 |
| presentation/pages (Files)                                                                                            |          1 |          2 |          0 |          1 |          3 |
| presentation/pages/add_part                                                                                           |          4 |        700 |         37 |         47 |        784 |
| presentation/pages/add_part/cubit                                                                                     |          3 |        546 |         31 |         37 |        614 |
| presentation/pages/add_part/view                                                                                      |          1 |        154 |          6 |         10 |        170 |
| presentation/pages/checkout                                                                                           |          4 |        414 |         19 |         42 |        475 |
| presentation/pages/checkout/cubit                                                                                     |          3 |        253 |         17 |         38 |        308 |
| presentation/pages/checkout/view                                                                                      |          1 |        161 |          2 |          4 |        167 |
| presentation/pages/home_page                                                                                          |          5 |        222 |         16 |         34 |        272 |
| presentation/pages/home_page/cubit                                                                                    |          3 |        167 |         16 |         29 |        212 |
| presentation/pages/home_page/view                                                                                     |          2 |         55 |          0 |          5 |         60 |
| presentation/pages/manage_inventory                                                                                   |          5 |        598 |         22 |         56 |        676 |
| presentation/pages/manage_inventory/cubit                                                                             |          2 |        181 |         20 |         33 |        234 |
| presentation/pages/manage_inventory/view                                                                              |          3 |        417 |          2 |         23 |        442 |
| presentation/pages/part_view                                                                                          |          3 |        163 |         16 |         28 |        207 |
| presentation/pages/part_view/cubit                                                                                    |          3 |        163 |         16 |         28 |        207 |
| presentation/pages/search_results                                                                                     |          8 |        879 |         52 |         74 |      1,005 |
| presentation/pages/search_results/cubit                                                                               |          3 |        478 |         38 |         50 |        566 |
| presentation/pages/search_results/view                                                                                |          5 |        401 |         14 |         24 |        439 |
| presentation/utils                                                                                                    |          4 |         50 |          7 |         11 |         68 |
| presentation/widgets                                                                                                  |         11 |        275 |          6 |         24 |        305 |
| presentation/widgets (Files)                                                                                          |          6 |        155 |          6 |         15 |        176 |
| presentation/widgets/buttons                                                                                          |          2 |         46 |          0 |          4 |         50 |
| presentation/widgets/dialogs                                                                                          |          1 |         30 |          0 |          2 |         32 |
| presentation/widgets/form                                                                                             |          2 |         44 |          0 |          3 |         47 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                              | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
